Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
BERT-epoca5;0.70;0.81;0.42;0.54;0.39;0.83;0.38;0.70;0.20;0.82;0.40;0.61;0.26;0.52
BERT-epoca1;0.78;0.81;0.47;0.64;0.04;1.07;0.11;0.48;0.02;0.92;0.17;0.54;0.03;0.42
BERT-epoca15;0.66;0.78;0.28;0.57;0.36;0.79;0.26;0.62;0.31;0.79;0.26;0.60;0.33;0.50
BERT-epoca10;0.66;0.79;0.30;0.58;0.33;0.79;0.29;0.62;0.32;0.79;0.29;0.60;0.33;0.50
