Parametros;MAE;MSE;R2
FineTuning_epoca-1;0.0320; 0.0035; -0.2363
FineTuning_epoca-5;0.0496; 0.0055; -0.2610
FineTuning_epoca-10;0.0202;0.0022;-0.2303
