Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
BERT-epoca1;0.72;0.78;0.45;0.53;0.33;0.92;0.25;0.55;0.13;0.85;0.32;0.54;0.19;0.47
BERT-epoca5;0.69;0.80;0.38;0.58;0.46;0.83;0.34;0.59;0.38;0.81;0.36;0.59;0.42;0.55
BERT-epoca10;0.67;0.79;0.29;0.57;0.44;0.80;0.27;0.62;0.37;0.79;0.28;0.59;0.40;0.52
BERT-epoca15;0.67;0.79;0.28;0.58;0.43;0.80;0.27;0.62;0.38;0.79;0.28;0.60;0.40;0.52
BERT-epoca6;0.68;0.80;0.36;0.58;0.44;0.81;0.33;0.63;0.38;0.80;0.34;0.61;0.41;0.54
