Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-poly_2_auto_05;0.0221;0.6514;0.0427;0.6742;0.3878;0.3953;0.3477;0.7373;0.0181;0.2898;0.0339;0.8680;0.0241;0.3503;0.0447;0.7193;0.1130;0.4217;0.1173;0.7497
OCSVM_kernel-poly_2_auto_06;0.0523;0.5351;0.0793;0.7544;0.2690;0.5130;0.3517;0.6817;0.0114;0.3611;0.0222;0.7909;0.0257;0.3807;0.0481;0.7117;0.0896;0.4475;0.1253;0.7347
OCSVM_kernel-poly_2_auto_07;0.0670;0.3838;0.0663;0.8263;0.8917;0.0634;0.1166;0.8423;0.0102;0.5885;0.0199;0.6258;0.0251;0.6473;0.0482;0.5227;0.2485;0.4207;0.0628;0.7043
OCSVM_kernel-poly_2_auto_08;0.0203;0.7216;0.0394;0.6056;0.5004;0.2665;0.3455;0.8324;0.0104;0.3022;0.0200;0.7849;0.0272;0.6651;0.0522;0.5357;0.1396;0.4888;0.1143;0.6897
OCSVM_kernel-poly_2_auto_09;0.0487;0.3405;0.0835;0.8969;0.2354;0.6796;0.3495;0.5778;0.0103;0.5208;0.0201;0.6329;0.0248;0.0561;0.0338;0.9419;0.0798;0.3992;0.1217;0.7624
OCSVM_kernel-poly_3_scale_01;0.0462;0.4135;0.0831;0.8997;0.2110;0.6495;0.3184;0.5391;0.0119;0.1780;0.0224;0.8866;0.0236;0.4056;0.0445;0.6665;0.0732;0.4117;0.1171;0.7480
OCSVM_kernel-poly_3_scale_02;0.0462;0.4135;0.0831;0.8997;0.2135;0.6349;0.3193;0.5520;0.0118;0.1780;0.0221;0.8862;0.0235;0.4023;0.0444;0.6682;0.0738;0.4072;0.1172;0.7515
OCSVM_kernel-poly_3_scale_03;0.0463;0.4054;0.0831;0.9018;0.2284;0.6004;0.3305;0.5983;0.0119;0.1780;0.0222;0.8866;0.0238;0.3990;0.0450;0.6754;0.0776;0.3957;0.1202;0.7655
OCSVM_kernel-poly_3_scale_04;0.0475;0.3892;0.0846;0.9075;0.2521;0.5399;0.3430;0.6596;0.0111;0.1662;0.0208;0.8866;0.0242;0.3825;0.0454;0.6931;0.0837;0.3694;0.1235;0.7867
OCSVM_kernel-poly_3_scale_05;0.0506;0.3622;0.0887;0.9183;0.2818;0.4582;0.3478;0.7182;0.0109;0.1623;0.0205;0.8877;0.0239;0.3346;0.0447;0.7270;0.0918;0.3293;0.1254;0.8128
OCSVM_kernel-poly_3_scale_06;0.0571;0.3135;0.0965;0.9359;0.3284;0.3774;0.3490;0.7711;0.0110;0.1545;0.0206;0.8933;0.0247;0.2933;0.0456;0.7653;0.1053;0.2847;0.1279;0.8414
OCSVM_kernel-poly_3_scale_07;0.0761;0.2514;0.1165;0.9584;0.4278;0.2860;0.3382;0.8198;0.0114;0.1346;0.0210;0.9092;0.0238;0.2240;0.0430;0.8092;0.1348;0.2240;0.1297;0.8742
