Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-rbf_auto_08;0.0484;0.5054;0.0882;0.8841;0.3820;0.2738;0.3164;0.8061;0.0152;0.4522;0.0294;0.7899;0.0237;0.2455;0.0431;0.7902;0.1173;0.3692;0.1193;0.8176
OCSVM_kernel-rbf_auto_09;0.0642;0.3297;0.1070;0.9406;0.8237;0.0910;0.1594;0.8446;0.0153;0.3457;0.0293;0.8329;0.0127;0.0711;0.0212;0.8854;0.2290;0.2094;0.0792;0.8759
OCSVM_kernel-sigmoid_scale_01;0.0564;0.3622;0.0976;0.9261;0.1609;0.6138;0.2549;0.4032;0.0166;0.1431;0.0298;0.9327;0.0244;0.3610;0.0457;0.7108;0.0646;0.3700;0.1070;0.7432
OCSVM_kernel-sigmoid_scale_02;0.0551;0.3595;0.0955;0.9248;0.1624;0.6109;0.2565;0.4113;0.0168;0.1431;0.0300;0.9333;0.0243;0.3610;0.0455;0.7098;0.0646;0.3686;0.1069;0.7448
OCSVM_kernel-sigmoid_scale_03;0.0563;0.3595;0.0973;0.9264;0.1708;0.5805;0.2638;0.4622;0.0167;0.1431;0.0300;0.9332;0.0245;0.3561;0.0459;0.7166;0.0671;0.3598;0.1092;0.7596
OCSVM_kernel-sigmoid_scale_04;0.0567;0.3514;0.0975;0.9281;0.1847;0.5086;0.2707;0.5468;0.0168;0.1431;0.0301;0.9332;0.0243;0.3264;0.0452;0.7363;0.0706;0.3324;0.1109;0.7861
OCSVM_kernel-sigmoid_scale_05;0.0604;0.3189;0.1015;0.9380;0.2022;0.4278;0.2742;0.6267;0.0160;0.1351;0.0286;0.9338;0.0239;0.2837;0.0440;0.7650;0.0756;0.2914;0.1121;0.8159
OCSVM_kernel-sigmoid_scale_06;0.0675;0.2838;0.1088;0.9487;0.2366;0.3551;0.2826;0.7055;0.0164;0.1311;0.0292;0.9369;0.0239;0.2292;0.0433;0.8068;0.0861;0.2498;0.1160;0.8495
OCSVM_kernel-sigmoid_scale_07;0.0891;0.2081;0.1242;0.9676;0.3099;0.2746;0.2887;0.7806;0.0159;0.1114;0.0278;0.9434;0.0219;0.1682;0.0387;0.8399;0.1092;0.1906;0.1198;0.8829
OCSVM_kernel-sigmoid_scale_08;0.1274;0.1486;0.1337;0.9792;0.4772;0.1877;0.2644;0.8322;0.0138;0.0755;0.0233;0.9543;0.0196;0.1155;0.0334;0.8728;0.1595;0.1318;0.1137;0.9096
OCSVM_kernel-sigmoid_scale_09;0.2137;0.0811;0.1160;0.9870;0.7317;0.0959;0.1674;0.8440;0.0145;0.0478;0.0222;0.9699;0.0138;0.0577;0.0223;0.9025;0.2434;0.0706;0.0820;0.9258
OCSVM_kernel-sigmoid_auto_01;0.0534;0.6730;0.0756;0.7903;0.5852;0.1177;0.1768;0.8367;0.0000;0.0000;0.0000;0.9927;0.0162;0.1350;0.0289;0.8287;0.1637;0.2314;0.0703;0.8621
OCSVM_kernel-sigmoid_auto_02;0.0950;0.3486;0.1213;0.9531;0.5225;0.2398;0.2631;0.7860;0.0294;0.1115;0.0454;0.9677;0.0247;0.5701;0.0471;0.5560;0.1679;0.3175;0.1192;0.8157
OCSVM_kernel-sigmoid_auto_03;0.1700;0.0216;0.0383;0.9886;0.3207;0.5614;0.2381;0.5161;0.0173;0.2040;0.0283;0.9166;0.0243;0.5908;0.0465;0.5363;0.1331;0.3444;0.0878;0.7394
OCSVM_kernel-sigmoid_auto_04;0.0291;0.7703;0.0558;0.6741;0.1972;0.6190;0.2969;0.5050;0.0488;0.0715;0.0497;0.9728;0.0190;0.3171;0.0354;0.7049;0.0736;0.4445;0.1095;0.7142
OCSVM_kernel-sigmoid_auto_05;0.0832;0.3595;0.1327;0.9434;0.3407;0.3243;0.2953;0.7302;0.0306;0.1751;0.0485;0.9586;0.0134;0.1279;0.0233;0.8567;0.1170;0.2467;0.1249;0.8722
OCSVM_kernel-sigmoid_auto_06;0.0971;0.4838;0.1289;0.8773;0.2542;0.3656;0.2977;0.7081;0.0163;0.4803;0.0315;0.7808;0.0188;0.1454;0.0327;0.8568;0.0966;0.3688;0.1227;0.8058
OCSVM_kernel-sigmoid_auto_07;0.0911;0.6757;0.0940;0.6565;0.3675;0.4885;0.2489;0.5471;0.0190;0.3051;0.0338;0.8533;0.0241;0.6507;0.0463;0.4906;0.1254;0.5300;0.1058;0.6369
OCSVM_kernel-sigmoid_auto_08;0.0537;0.5081;0.0969;0.8940;0.3553;0.2734;0.3051;0.7995;0.0157;0.4560;0.0303;0.7954;0.0254;0.2505;0.0460;0.8006;0.1125;0.3720;0.1196;0.8224
OCSVM_kernel-sigmoid_auto_09;0.0896;0.3297;0.1376;0.9552;0.5599;0.1321;0.1723;0.8262;0.0176;0.3775;0.0336;0.8419;0.0156;0.0761;0.0253;0.8992;0.1707;0.2289;0.0922;0.8806
