Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-rbf_scale_06;0.0058;0.3892;0.0114;0.2537;0.7246;0.4013;0.5124;0.8755;0.0038;0.3886;0.0076;0.2649;0.0112;0.3969;0.0218;0.3156;0.1864;0.3940;0.1383;0.4274
OCSVM_kernel-rbf_scale_07;0.0048;0.3000;0.0094;0.3079;0.7415;0.2981;0.4235;0.8661;0.0032;0.2932;0.0063;0.3325;0.0094;0.3012;0.0183;0.3819;0.1897;0.2981;0.1144;0.4721
OCSVM_kernel-rbf_scale_08;0.0036;0.1946;0.0070;0.3942;0.8103;0.1966;0.3150;0.8585;0.0023;0.1943;0.0046;0.3939;0.0074;0.2040;0.0143;0.4658;0.2059;0.1974;0.0852;0.5281
OCSVM_kernel-rbf_scale_09;0.0025;0.1000;0.0049;0.5576;0.8461;0.0999;0.1773;0.8470;0.0015;0.1026;0.0030;0.5141;0.0046;0.1037;0.0089;0.5571;0.2137;0.1016;0.0485;0.6189
OCSVM_kernel-rbf_auto_01;0.0103;0.8946;0.0203;0.0492;0.2325;0.8968;0.3691;0.4896;0.0067;0.8805;0.0133;0.0514;0.0180;0.8931;0.0352;0.0553;0.0669;0.8913;0.1095;0.1614
OCSVM_kernel-rbf_auto_02;0.0095;0.7946;0.0187;0.0838;0.3230;0.7969;0.4590;0.6886;0.0063;0.7929;0.0125;0.0882;0.0168;0.7927;0.0328;0.0997;0.0889;0.7943;0.1308;0.2400
OCSVM_kernel-rbf_auto_03;0.0086;0.6892;0.0171;0.1260;0.4028;0.6974;0.5096;0.7788;0.0058;0.6894;0.0116;0.1429;0.0157;0.6971;0.0308;0.1546;0.1083;0.6933;0.1423;0.3006
OCSVM_kernel-rbf_auto_04;0.0079;0.5973;0.0155;0.1656;0.4848;0.5970;0.5329;0.8287;0.0051;0.5785;0.0100;0.1687;0.0144;0.5949;0.0281;0.2065;0.1280;0.5919;0.1466;0.3424
OCSVM_kernel-rbf_auto_05;0.0069;0.4946;0.0136;0.2093;0.6273;0.4983;0.5508;0.8683;0.0046;0.5032;0.0092;0.2102;0.0128;0.4911;0.0250;0.2650;0.1629;0.4968;0.1496;0.3882
OCSVM_kernel-rbf_auto_06;0.0059;0.3973;0.0116;0.2544;0.7247;0.4021;0.5132;0.8756;0.0039;0.3926;0.0076;0.2595;0.0113;0.4002;0.0219;0.3151;0.1864;0.3980;0.1386;0.4261
OCSVM_kernel-rbf_auto_07;0.0049;0.3027;0.0096;0.3098;0.7422;0.2981;0.4235;0.8661;0.0032;0.2932;0.0063;0.3282;0.0094;0.3012;0.0183;0.3815;0.1899;0.2988;0.1144;0.4714
OCSVM_kernel-rbf_auto_08;0.0035;0.1919;0.0069;0.3945;0.8109;0.1986;0.3177;0.8588;0.0024;0.1983;0.0047;0.3905;0.0075;0.2056;0.0144;0.4647;0.2061;0.1986;0.0859;0.5271
OCSVM_kernel-rbf_auto_09;0.0024;0.0973;0.0047;0.5548;0.8580;0.0991;0.1761;0.8471;0.0015;0.1026;0.0030;0.5107;0.0046;0.1037;0.0088;0.5566;0.2167;0.1007;0.0482;0.6173
OCSVM_kernel-sigmoid_scale_01;0.0325;0.7351;0.0622;0.7558;0.1403;0.7405;0.2358;0.2000;0.0177;0.5282;0.0342;0.7834;0.0307;0.7251;0.0589;0.5539;0.0553;0.6822;0.0978;0.5733
OCSVM_kernel-sigmoid_scale_02;0.0353;0.6622;0.0671;0.7974;0.1392;0.7064;0.2326;0.2229;0.0176;0.5162;0.0341;0.7874;0.0314;0.6741;0.0601;0.5949;0.0559;0.6397;0.0984;0.6006
OCSVM_kernel-sigmoid_scale_03;0.0376;0.5838;0.0706;0.8312;0.1378;0.6503;0.2274;0.2636;0.0168;0.4686;0.0324;0.7968;0.0342;0.6229;0.0649;0.6553;0.0566;0.5814;0.0988;0.6367
OCSVM_kernel-sigmoid_scale_04;0.0403;0.5243;0.0748;0.8575;0.1340;0.5715;0.2170;0.3134;0.0171;0.4408;0.0330;0.8125;0.0370;0.5354;0.0691;0.7234;0.0571;0.5180;0.0985;0.6767
OCSVM_kernel-sigmoid_scale_05;0.0467;0.4432;0.0845;0.8948;0.1269;0.4745;0.2003;0.3694;0.0167;0.3694;0.0320;0.8378;0.0389;0.4563;0.0717;0.7738;0.0573;0.4359;0.0971;0.7190
OCSVM_kernel-sigmoid_scale_06;0.0484;0.3486;0.0850;0.9178;0.1141;0.3709;0.1744;0.4167;0.0183;0.3298;0.0347;0.8675;0.0442;0.3725;0.0790;0.8349;0.0562;0.3555;0.0933;0.7592
OCSVM_kernel-sigmoid_scale_07;0.0497;0.2757;0.0842;0.9343;0.1043;0.2844;0.1526;0.4757;0.0182;0.2391;0.0338;0.9028;0.0445;0.2604;0.0760;0.8798;0.0542;0.2649;0.0866;0.7981
OCSVM_kernel-sigmoid_scale_08;0.0571;0.1838;0.0870;0.9581;0.0908;0.1889;0.1226;0.5526;0.0172;0.1597;0.0310;0.9290;0.0456;0.1811;0.0728;0.9126;0.0527;0.1784;0.0784;0.8381
OCSVM_kernel-sigmoid_scale_09;0.0572;0.1027;0.0732;0.9722;0.0776;0.0959;0.0857;0.6640;0.0149;0.0880;0.0255;0.9542;0.0529;0.0972;0.0682;0.9513;0.0507;0.0959;0.0632;0.8854
OCSVM_kernel-sigmoid_auto_01;0.0560;0.3838;0.0975;0.9197;0.1313;0.5808;0.2142;0.2910;0.0254;0.1663;0.0440;0.9477;0.0406;0.4663;0.0746;0.7736;0.0633;0.3993;0.1075;0.7330
OCSVM_kernel-sigmoid_auto_02;0.0426;0.5865;0.0794;0.8498;0.1317;0.6040;0.2162;0.2704;0.0227;0.3375;0.0425;0.8881;0.0335;0.6180;0.0635;0.6493;0.0576;0.5365;0.1004;0.6644
OCSVM_kernel-sigmoid_auto_03;0.0396;0.5459;0.0737;0.8493;0.1332;0.5959;0.2178;0.2863;0.0181;0.4249;0.0347;0.8275;0.0362;0.5701;0.0681;0.6991;0.0568;0.5342;0.0986;0.6656
OCSVM_kernel-sigmoid_auto_04;0.0428;0.4865;0.0787;0.8750;0.1306;0.5456;0.2107;0.3196;0.0182;0.3969;0.0348;0.8394;0.0374;0.5124;0.0698;0.7377;0.0573;0.4853;0.0985;0.6929
OCSVM_kernel-sigmoid_auto_05;0.0490;0.4189;0.0877;0.9046;0.1242;0.4599;0.1956;0.3706;0.0176;0.3495;0.0335;0.8538;0.0394;0.4465;0.0724;0.7808;0.0576;0.4187;0.0973;0.7274
OCSVM_kernel-sigmoid_auto_06;0.0473;0.3324;0.0828;0.9193;0.1135;0.3685;0.1736;0.4167;0.0169;0.2748;0.0318;0.8795;0.0445;0.3625;0.0792;0.8398;0.0555;0.3345;0.0918;0.7638
OCSVM_kernel-sigmoid_auto_07;0.0493;0.2595;0.0829;0.9371;0.1039;0.2844;0.1522;0.4739;0.0182;0.2231;0.0337;0.9097;0.0443;0.2472;0.0751;0.8848;0.0539;0.2535;0.0860;0.8014
OCSVM_kernel-sigmoid_auto_08;0.0583;0.1784;0.0878;0.9597;0.0905;0.1885;0.1222;0.5522;0.0158;0.1358;0.0283;0.9336;0.0457;0.1745;0.0724;0.9153;0.0526;0.1693;0.0777;0.8402
OCSVM_kernel-sigmoid_auto_09;0.0560;0.0919;0.0694;0.9734;0.0781;0.0959;0.0860;0.6653;0.0145;0.0800;0.0245;0.9568;0.0540;0.0939;0.0683;0.9529;0.0507;0.0904;0.0621;0.8871
