Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-sigmoid_scale_02;0.0520;0.7946;0.0976;0.8378;0.2114;0.7844;0.3329;0.4774;0.0176;0.7583;0.0345;0.6931;0.0332;0.7828;0.0636;0.5559;0.0785;0.7800;0.1321;0.6411
OCSVM_kernel-sigmoid_scale_03;0.0770;0.6865;0.1384;0.9059;0.2317;0.6833;0.3458;0.5722;0.0193;0.6589;0.0376;0.7555;0.0371;0.6806;0.0704;0.6542;0.0913;0.6773;0.1480;0.7220
OCSVM_kernel-sigmoid_scale_04;0.0897;0.5973;0.1560;0.9289;0.2687;0.5907;0.3687;0.6669;0.0200;0.5714;0.0386;0.7942;0.0410;0.5752;0.0766;0.7336;0.1049;0.5836;0.1600;0.7809
OCSVM_kernel-sigmoid_scale_05;0.0987;0.4973;0.1646;0.9447;0.3087;0.4923;0.3783;0.7336;0.0224;0.4715;0.0427;0.8476;0.0439;0.4846;0.0805;0.7882;0.1184;0.4864;0.1666;0.8285
OCSVM_kernel-sigmoid_scale_06;0.1196;0.3973;0.1837;0.9615;0.3494;0.3940;0.3688;0.7790;0.0231;0.3646;0.0435;0.8849;0.0462;0.3806;0.0823;0.8382;0.1346;0.3841;0.1696;0.8659
OCSVM_kernel-sigmoid_scale_07;0.1683;0.2973;0.2148;0.9763;0.4146;0.2970;0.3435;0.8154;0.0203;0.2575;0.0376;0.9063;0.0527;0.2916;0.0891;0.8875;0.1640;0.2859;0.1712;0.8964
OCSVM_kernel-sigmoid_scale_08;0.1985;0.1973;0.1969;0.9827;0.4784;0.1991;0.2766;0.8328;0.0195;0.1860;0.0352;0.9286;0.0568;0.1863;0.0869;0.9263;0.1883;0.1922;0.1489;0.9176
OCSVM_kernel-sigmoid_scale_09;0.2534;0.1000;0.1428;0.9869;0.5986;0.0995;0.1682;0.8396;0.0166;0.0831;0.0276;0.9582;0.0614;0.0940;0.0740;0.9566;0.2325;0.0942;0.1032;0.9353
OCSVM_kernel-sigmoid_auto_01;0.0269;0.8703;0.0523;0.6521;0.1846;0.8814;0.3052;0.3311;0.0149;0.8334;0.0292;0.5988;0.0268;0.8881;0.0521;0.3763;0.0633;0.8683;0.1097;0.4896
OCSVM_kernel-sigmoid_auto_02;0.0517;0.7865;0.0970;0.8384;0.2102;0.7820;0.3312;0.4752;0.0180;0.7583;0.0352;0.7000;0.0326;0.7810;0.0627;0.5496;0.0781;0.7769;0.1315;0.6408
OCSVM_kernel-sigmoid_auto_03;0.0776;0.6838;0.1394;0.9071;0.2297;0.6837;0.3436;0.5679;0.0189;0.6389;0.0366;0.7566;0.0369;0.6740;0.0699;0.6548;0.0908;0.6701;0.1474;0.7216
OCSVM_kernel-sigmoid_auto_04;0.0893;0.5973;0.1554;0.9286;0.2643;0.5915;0.3646;0.6605;0.0201;0.5674;0.0387;0.7964;0.0409;0.5801;0.0765;0.7307;0.1037;0.5841;0.1588;0.7790
OCSVM_kernel-sigmoid_auto_05;0.0986;0.4946;0.1644;0.9449;0.3043;0.4915;0.3748;0.7299;0.0224;0.4675;0.0427;0.8488;0.0431;0.4746;0.0790;0.7882;0.1171;0.4821;0.1652;0.8280
OCSVM_kernel-sigmoid_auto_06;0.1193;0.3946;0.1832;0.9616;0.3445;0.3904;0.3645;0.7768;0.0229;0.3606;0.0431;0.8853;0.0448;0.3773;0.0801;0.8347;0.1329;0.3807;0.1677;0.8646
OCSVM_kernel-sigmoid_auto_07;0.1675;0.2919;0.2127;0.9764;0.4248;0.2962;0.3465;0.8179;0.0204;0.2574;0.0378;0.9069;0.0522;0.2933;0.0885;0.8858;0.1662;0.2847;0.1714;0.8968
OCSVM_kernel-sigmoid_auto_08;0.1938;0.1919;0.1920;0.9827;0.4849;0.1950;0.2732;0.8335;0.0200;0.1900;0.0362;0.9293;0.0556;0.1830;0.0851;0.9260;0.1886;0.1900;0.1466;0.9179
OCSVM_kernel-sigmoid_auto_09;0.2670;0.0973;0.1421;0.9872;0.6062;0.0991;0.1680;0.8402;0.0172;0.0871;0.0287;0.9580;0.0585;0.0924;0.0713;0.9558;0.2372;0.0940;0.1025;0.9353
