Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-poly_3_scale_09;0.0091;0.0054;0.0068;0.9839;0.8313;0.0829;0.1494;0.8444;0.0000;0.0000;0.0000;0.9843;0.0015;0.0049;0.0023;0.9169;0.2105;0.0233;0.0396;0.9324
OCSVM_kernel-poly_3_auto_01;0.1518;0.0270;0.0458;0.9878;0.7221;0.0970;0.1605;0.8439;0.0000;0.0000;0.0000;0.9927;0.0000;0.0000;0.0000;0.9486;0.2185;0.0310;0.0516;0.9432
OCSVM_kernel-poly_3_auto_02;0.0611;0.0135;0.0214;0.9863;0.6069;0.2750;0.3704;0.8484;0.0000;0.0000;0.0000;0.9919;0.0042;0.0246;0.0071;0.8714;0.1680;0.0783;0.0997;0.9245
OCSVM_kernel-poly_3_auto_03;0.0187;0.0081;0.0113;0.9859;0.4984;0.2914;0.3165;0.8165;0.0165;0.0440;0.0240;0.9800;0.0043;0.0416;0.0075;0.8507;0.1345;0.0963;0.0898;0.9083
OCSVM_kernel-poly_3_auto_04;0.0395;0.1405;0.0607;0.9523;0.3660;0.3807;0.3521;0.7760;0.0000;0.0000;0.0000;0.9923;0.0032;0.0263;0.0057;0.8218;0.1022;0.1369;0.1046;0.8856
OCSVM_kernel-poly_3_auto_05;0.0313;0.0351;0.0331;0.9781;0.7295;0.1306;0.1861;0.8332;0.0000;0.0000;0.0000;0.9910;0.0027;0.0083;0.0037;0.9051;0.1909;0.0435;0.0557;0.9269
OCSVM_kernel-poly_3_auto_06;0.0234;0.0243;0.0238;0.9784;0.2849;0.4261;0.3327;0.7210;0.0133;0.0400;0.0200;0.9757;0.0034;0.0314;0.0060;0.8078;0.0812;0.1305;0.0956;0.8707
OCSVM_kernel-poly_3_auto_07;0.0330;0.2919;0.0567;0.8849;0.8120;0.0808;0.1459;0.8438;0.0028;0.0154;0.0048;0.9769;0.0057;0.0722;0.0105;0.7572;0.2134;0.1151;0.0545;0.8657
OCSVM_kernel-poly_3_auto_08;0.0332;0.1270;0.0524;0.9493;0.6676;0.2567;0.3638;0.8540;0.0000;0.0000;0.0000;0.9782;0.0023;0.0164;0.0041;0.8310;0.1758;0.1000;0.1051;0.9031
OCSVM_kernel-poly_3_auto_09;0.0363;0.0676;0.0469;0.9697;0.6529;0.3047;0.4032;0.8572;0.0041;0.0120;0.0061;0.9716;0.0041;0.0379;0.0073;0.7911;0.1743;0.1055;0.1158;0.8974
OCSVM_kernel-rbf_scale_01;0.0567;0.2838;0.0944;0.9402;0.1781;0.5654;0.2707;0.4940;0.0107;0.0754;0.0188;0.9426;0.0196;0.2623;0.0364;0.7346;0.0663;0.2967;0.1051;0.7778
OCSVM_kernel-rbf_scale_02;0.0571;0.2838;0.0949;0.9406;0.1802;0.5654;0.2732;0.5005;0.0108;0.0754;0.0189;0.9433;0.0197;0.2623;0.0367;0.7368;0.0670;0.2967;0.1059;0.7803
OCSVM_kernel-rbf_scale_03;0.0563;0.2811;0.0937;0.9401;0.1867;0.5427;0.2776;0.5317;0.0110;0.0754;0.0192;0.9443;0.0197;0.2623;0.0367;0.7366;0.0684;0.2904;0.1068;0.7882
OCSVM_kernel-rbf_scale_04;0.0548;0.2811;0.0916;0.9387;0.2034;0.4834;0.2860;0.6011;0.0111;0.0754;0.0194;0.9445;0.0193;0.2507;0.0359;0.7424;0.0722;0.2726;0.1082;0.8067
OCSVM_kernel-rbf_scale_05;0.0534;0.2622;0.0885;0.9411;0.2312;0.4265;0.2992;0.6714;0.0107;0.0754;0.0188;0.9432;0.0191;0.2293;0.0353;0.7607;0.0786;0.2483;0.1105;0.8291
OCSVM_kernel-rbf_scale_06;0.0622;0.2405;0.0987;0.9521;0.2891;0.3522;0.3156;0.7513;0.0109;0.0754;0.0191;0.9439;0.0185;0.1930;0.0338;0.7898;0.0952;0.2153;0.1168;0.8593
OCSVM_kernel-rbf_scale_07;0.0649;0.1892;0.0964;0.9614;0.4194;0.2742;0.3261;0.8188;0.0115;0.0714;0.0199;0.9486;0.0175;0.1486;0.0312;0.8250;0.1283;0.1708;0.1184;0.8885
OCSVM_kernel-rbf_scale_08;0.0615;0.1324;0.0839;0.9686;0.6685;0.1885;0.2887;0.8502;0.0100;0.0517;0.0167;0.9564;0.0150;0.1006;0.0261;0.8567;0.1888;0.1183;0.1039;0.9080
OCSVM_kernel-rbf_scale_09;0.0382;0.0622;0.0474;0.9727;0.8227;0.0938;0.1669;0.8456;0.0076;0.0278;0.0120;0.9671;0.0096;0.0462;0.0159;0.8891;0.2195;0.0575;0.0605;0.9186
OCSVM_kernel-rbf_auto_01;0.0190;0.8622;0.0363;0.4211;0.2170;0.2947;0.2342;0.6884;0.0131;0.0514;0.0208;0.9672;0.0238;0.4381;0.0451;0.6429;0.0682;0.4116;0.0841;0.6799
OCSVM_kernel-rbf_auto_02;0.0360;0.5757;0.0670;0.8032;0.1874;0.5305;0.2762;0.5386;0.0205;0.3029;0.0374;0.8841;0.0242;0.7167;0.0469;0.4388;0.0670;0.5315;0.1069;0.6662
OCSVM_kernel-rbf_auto_03;0.0292;0.6811;0.0560;0.7438;0.1702;0.6008;0.2622;0.4420;0.0181;0.4866;0.0348;0.8016;0.0218;0.6070;0.0419;0.4872;0.0598;0.5939;0.0987;0.6187
OCSVM_kernel-rbf_auto_04;0.0401;0.5432;0.0731;0.8352;0.1840;0.5691;0.2777;0.5060;0.0186;0.1588;0.0330;0.9262;0.0230;0.3475;0.0431;0.6968;0.0664;0.4046;0.1067;0.7411
OCSVM_kernel-rbf_auto_05;0.0412;0.4784;0.0758;0.8715;0.2016;0.4509;0.2780;0.6140;0.0182;0.3134;0.0336;0.8698;0.0238;0.4025;0.0449;0.6741;0.0712;0.4113;0.1081;0.7574
OCSVM_kernel-rbf_auto_06;0.0463;0.4000;0.0823;0.9006;0.2374;0.3725;0.2879;0.6986;0.0164;0.2945;0.0309;0.8586;0.0224;0.2590;0.0411;0.7761;0.0806;0.3315;0.1106;0.8085
OCSVM_kernel-rbf_auto_07;0.0711;0.2135;0.1066;0.9608;0.3259;0.2783;0.2951;0.7874;0.0138;0.1772;0.0250;0.8941;0.0207;0.1964;0.0373;0.8085;0.1079;0.2163;0.1160;0.8627
OCSVM_kernel-rbf_auto_08;0.0706;0.1622;0.0982;0.9671;0.4979;0.1873;0.2659;0.8355;0.0146;0.2023;0.0267;0.8941;0.0200;0.1434;0.0350;0.8461;0.1508;0.1738;0.1064;0.8857
OCSVM_kernel-rbf_auto_09;0.0467;0.0757;0.0577;0.9731;0.8076;0.1024;0.1798;0.8464;0.0112;0.0517;0.0184;0.9596;0.0129;0.0594;0.0211;0.8921;0.2196;0.0723;0.0693;0.9178
OCSVM_kernel-sigmoid_scale_01;0.0370;0.6054;0.0697;0.8221;0.1570;0.7576;0.2601;0.2815;0.0167;0.3852;0.0320;0.8309;0.0262;0.6411;0.0503;0.5338;0.0592;0.5973;0.1030;0.6171
OCSVM_kernel-sigmoid_scale_02;0.0379;0.6027;0.0713;0.8273;0.1576;0.7287;0.2591;0.3058;0.0167;0.3852;0.0321;0.8313;0.0259;0.6198;0.0498;0.5452;0.0595;0.5841;0.1031;0.6274
OCSVM_kernel-sigmoid_scale_03;0.0424;0.5676;0.0788;0.8543;0.1624;0.6475;0.2595;0.3858;0.0168;0.3772;0.0323;0.8357;0.0264;0.5639;0.0505;0.5926;0.0620;0.5391;0.1053;0.6671
OCSVM_kernel-sigmoid_scale_04;0.0450;0.4973;0.0825;0.8785;0.1765;0.5529;0.2674;0.4972;0.0164;0.3375;0.0313;0.8482;0.0263;0.4847;0.0500;0.6464;0.0660;0.4681;0.1078;0.7176
OCSVM_kernel-sigmoid_scale_05;0.0508;0.4405;0.0911;0.9035;0.1894;0.4631;0.2685;0.5834;0.0164;0.3058;0.0311;0.8616;0.0261;0.3957;0.0489;0.7068;0.0707;0.4013;0.1099;0.7638
OCSVM_kernel-sigmoid_scale_06;0.0594;0.3541;0.1017;0.9311;0.2169;0.3754;0.2741;0.6744;0.0155;0.2460;0.0292;0.8814;0.0260;0.3150;0.0481;0.7629;0.0795;0.3226;0.1133;0.8124
OCSVM_kernel-sigmoid_scale_07;0.1002;0.2730;0.1458;0.9651;0.2803;0.2803;0.2777;0.7648;0.0161;0.1985;0.0297;0.9065;0.0248;0.2293;0.0448;0.8148;0.1054;0.2453;0.1245;0.8628
OCSVM_kernel-sigmoid_scale_08;0.1559;0.1811;0.1671;0.9804;0.4123;0.1832;0.2493;0.8242;0.0150;0.1352;0.0269;0.9295;0.0227;0.1519;0.0394;0.8606;0.1515;0.1628;0.1207;0.8987
OCSVM_kernel-sigmoid_scale_09;0.2468;0.0892;0.1295;0.9873;0.6531;0.1008;0.1692;0.8425;0.0177;0.0714;0.0283;0.9651;0.0173;0.0660;0.0273;0.9112;0.2337;0.0818;0.0886;0.9265
OCSVM_kernel-sigmoid_auto_01;0.0256;0.8757;0.0440;0.3963;0.2767;0.2047;0.2338;0.7777;0.0300;0.0674;0.0414;0.9800;0.0251;0.6080;0.0483;0.5385;0.0894;0.4389;0.0919;0.6731
OCSVM_kernel-sigmoid_auto_02;0.1108;0.5459;0.0750;0.8543;0.2377;0.3501;0.2792;0.6996;0.0258;0.2589;0.0442;0.9106;0.0246;0.7003;0.0474;0.4587;0.0997;0.4638;0.1115;0.7308
OCSVM_kernel-sigmoid_auto_03;0.0249;0.7946;0.0482;0.6397;0.1665;0.6489;0.2604;0.3977;0.0213;0.4328;0.0357;0.8274;0.0246;0.7271;0.0475;0.4410;0.0593;0.6509;0.0979;0.5765
OCSVM_kernel-sigmoid_auto_04;0.0634;0.5541;0.0809;0.8132;0.1780;0.5630;0.2700;0.4901;0.0304;0.1628;0.0486;0.9400;0.0243;0.4228;0.0458;0.6623;0.0740;0.4257;0.1113;0.7264
OCSVM_kernel-sigmoid_auto_05;0.0486;0.4649;0.0877;0.8926;0.1884;0.4558;0.2656;0.5813;0.0263;0.2288;0.0469;0.9300;0.0239;0.3192;0.0442;0.7320;0.0718;0.3672;0.1111;0.7840
OCSVM_kernel-sigmoid_auto_06;0.0943;0.3324;0.1219;0.9223;0.2103;0.3852;0.2653;0.6576;0.0175;0.3972;0.0334;0.8231;0.0231;0.2142;0.0415;0.8188;0.0863;0.3322;0.1155;0.8055
OCSVM_kernel-sigmoid_auto_07;0.1733;0.1946;0.1671;0.9733;0.2957;0.2633;0.2757;0.7768;0.0203;0.3072;0.0362;0.8562;0.0222;0.2468;0.0398;0.7977;0.1279;0.2530;0.1297;0.8510
OCSVM_kernel-sigmoid_auto_08;0.1775;0.1486;0.1486;0.9792;0.4357;0.1771;0.2474;0.8278;0.0151;0.3403;0.0273;0.8446;0.0238;0.2340;0.0430;0.8059;0.1630;0.2250;0.1166;0.8644
OCSVM_kernel-sigmoid_auto_09;0.2832;0.1108;0.1462;0.9862;0.7211;0.1072;0.1813;0.8450;0.0172;0.1858;0.0275;0.9154;0.0153;0.0495;0.0233;0.9196;0.2592;0.1133;0.0946;0.9166
