Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-rbf_scale_01;0.0095;0.7892;0.0187;0.0881;0.2330;0.8944;0.3695;0.4916;0.0060;0.7452;0.0119;0.0999;0.0170;0.8125;0.0332;0.0884;0.0664;0.8103;0.1083;0.1920
OCSVM_kernel-rbf_scale_02;0.0092;0.7595;0.0183;0.1003;0.3217;0.7973;0.4579;0.6870;0.0060;0.7372;0.0119;0.1108;0.0166;0.7697;0.0324;0.1145;0.0884;0.7659;0.1301;0.2531
OCSVM_kernel-rbf_scale_03;0.0086;0.6838;0.0170;0.1306;0.3999;0.6990;0.5080;0.7763;0.0056;0.6538;0.0110;0.1458;0.0156;0.6823;0.0305;0.1637;0.1074;0.6797;0.1416;0.3041
OCSVM_kernel-rbf_scale_04;0.0078;0.5838;0.0155;0.1815;0.4876;0.5970;0.5348;0.8297;0.0049;0.5548;0.0097;0.1769;0.0144;0.5883;0.0282;0.2187;0.1287;0.5810;0.1470;0.3517
OCSVM_kernel-rbf_scale_05;0.0067;0.4784;0.0133;0.2173;0.6044;0.4963;0.5424;0.8629;0.0045;0.4875;0.0089;0.2123;0.0128;0.4861;0.0250;0.2716;0.1571;0.4871;0.1474;0.3910
OCSVM_kernel-rbf_scale_06;0.0058;0.3865;0.0114;0.2598;0.7116;0.4017;0.5107;0.8738;0.0038;0.3846;0.0076;0.2694;0.0112;0.3936;0.0218;0.3213;0.1831;0.3916;0.1379;0.4311
OCSVM_kernel-rbf_scale_07;0.0048;0.2973;0.0095;0.3153;0.7656;0.2973;0.4266;0.8679;0.0032;0.2934;0.0063;0.3307;0.0093;0.2946;0.0181;0.3884;0.1957;0.2956;0.1151;0.4756
OCSVM_kernel-rbf_scale_08;0.0037;0.1919;0.0072;0.4185;0.8028;0.1966;0.3141;0.8581;0.0023;0.1902;0.0046;0.3997;0.0075;0.2023;0.0145;0.4752;0.2041;0.1952;0.0851;0.5379
OCSVM_kernel-rbf_scale_09;0.0025;0.1000;0.0048;0.5496;0.8796;0.0991;0.1765;0.8476;0.0016;0.1066;0.0032;0.5193;0.0046;0.0971;0.0088;0.5824;0.2221;0.1007;0.0483;0.6247
OCSVM_kernel-rbf_auto_01;0.0102;0.8892;0.0202;0.0514;0.2312;0.8972;0.3675;0.4858;0.0067;0.8806;0.0133;0.0502;0.0181;0.8996;0.0355;0.0577;0.0666;0.8917;0.1092;0.1613
OCSVM_kernel-rbf_auto_02;0.0095;0.7946;0.0188;0.0873;0.3206;0.7969;0.4568;0.6857;0.0063;0.7891;0.0124;0.0860;0.0169;0.7943;0.0331;0.1064;0.0883;0.7937;0.1303;0.2414
