Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-poly_3_auto_07;0.0611;0.2432;0.0941;0.9491;0.0978;0.3706;0.1534;0.3467;0.0049;0.1117;0.0082;0.9294;0.0248;0.4131;0.0469;0.7627;0.0471;0.2847;0.0756;0.7470
OCSVM_kernel-poly_3_auto_08;0.0336;0.0135;0.0192;0.9853;0.0817;0.2971;0.1236;0.4304;0.0070;0.0200;0.0103;0.9746;0.0085;0.0333;0.0124;0.9361;0.0327;0.0910;0.0414;0.8316
OCSVM_kernel-poly_3_auto_09;0.0032;0.0541;0.0061;0.9705;0.1159;0.5350;0.1903;0.2463;0.0000;0.0000;0.0000;0.9846;0.0306;0.1500;0.0508;0.8949;0.0374;0.1848;0.0618;0.7741
OCSVM_kernel-rbf_scale_01;0.0094;0.7784;0.0187;0.0988;0.2516;0.8590;0.3890;0.5516;0.0061;0.7374;0.0121;0.1271;0.0164;0.7878;0.0321;0.0847;0.0709;0.7906;0.1130;0.2156
OCSVM_kernel-rbf_scale_02;0.0092;0.7432;0.0181;0.1137;0.3325;0.7908;0.4672;0.7017;0.0061;0.7254;0.0121;0.1360;0.0161;0.7565;0.0315;0.1039;0.0910;0.7540;0.1322;0.2638
OCSVM_kernel-rbf_scale_03;0.0084;0.6622;0.0166;0.1377;0.4044;0.6933;0.5097;0.7808;0.0057;0.6577;0.0114;0.1668;0.0155;0.6873;0.0302;0.1519;0.1085;0.6751;0.1420;0.3093
OCSVM_kernel-rbf_scale_04;0.0077;0.5838;0.0153;0.1709;0.5144;0.5954;0.5476;0.8406;0.0050;0.5543;0.0100;0.1996;0.0139;0.5801;0.0272;0.2006;0.1353;0.5784;0.1500;0.3529
OCSVM_kernel-rbf_scale_05;0.0067;0.4757;0.0132;0.2173;0.6597;0.4971;0.5609;0.8751;0.0046;0.4871;0.0092;0.2358;0.0126;0.4878;0.0245;0.2527;0.1709;0.4869;0.1519;0.3952
OCSVM_kernel-rbf_scale_06;0.0059;0.3973;0.0116;0.2584;0.7530;0.4025;0.5198;0.8795;0.0039;0.3842;0.0078;0.2858;0.0109;0.3921;0.0212;0.3063;0.1934;0.3940;0.1401;0.4325
OCSVM_kernel-rbf_scale_07;0.0046;0.2838;0.0090;0.3149;0.7685;0.3017;0.4297;0.8689;0.0030;0.2774;0.0060;0.3332;0.0092;0.3011;0.0179;0.3659;0.1963;0.2910;0.1157;0.4708
OCSVM_kernel-rbf_scale_08;0.0036;0.1973;0.0071;0.3888;0.8324;0.1978;0.3171;0.8599;0.0024;0.1942;0.0047;0.4065;0.0071;0.1975;0.0136;0.4530;0.2113;0.1967;0.0856;0.5270
