Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-poly_2_auto_01;0.0358;0.7649;0.0683;0.7684;0.1730;0.8518;0.2876;0.2970;0.0205;0.6349;0.0398;0.7788;0.0277;0.8093;0.0536;0.4488;0.0643;0.7652;0.1123;0.5733
OCSVM_kernel-poly_2_auto_02;0.0482;0.7162;0.0903;0.8410;0.1834;0.7698;0.2961;0.3926;0.0209;0.6272;0.0404;0.7852;0.0299;0.7271;0.0574;0.5399;0.0706;0.7101;0.1210;0.6397
OCSVM_kernel-poly_2_auto_03;0.0544;0.6405;0.1003;0.8738;0.1980;0.6776;0.3062;0.4924;0.0201;0.5480;0.0389;0.8044;0.0332;0.6432;0.0631;0.6338;0.0764;0.6273;0.1271;0.7011
OCSVM_kernel-poly_2_auto_04;0.0723;0.5514;0.1277;0.9174;0.2137;0.5834;0.3125;0.5773;0.0221;0.5163;0.0424;0.8319;0.0352;0.5460;0.0661;0.7053;0.0858;0.5493;0.1372;0.7580
OCSVM_kernel-poly_2_auto_05;0.0879;0.4676;0.1478;0.9412;0.2370;0.4891;0.3186;0.6571;0.0252;0.4568;0.0478;0.8690;0.0403;0.4670;0.0742;0.7780;0.0976;0.4701;0.1471;0.8113
OCSVM_kernel-poly_2_auto_06;0.1103;0.3676;0.1694;0.9610;0.2824;0.3916;0.3267;0.7374;0.0230;0.3252;0.0430;0.8954;0.0419;0.3451;0.0748;0.8378;0.1144;0.3574;0.1535;0.8579
OCSVM_kernel-poly_2_auto_07;0.1367;0.2838;0.1841;0.9728;0.3124;0.2876;0.2974;0.7802;0.0211;0.2415;0.0388;0.9136;0.0454;0.2708;0.0778;0.8787;0.1289;0.2710;0.1495;0.8863
OCSVM_kernel-poly_2_auto_08;0.1756;0.2027;0.1866;0.9814;0.3659;0.1958;0.2519;0.8131;0.0220;0.1703;0.0389;0.9402;0.0462;0.1753;0.0730;0.9181;0.1524;0.1860;0.1376;0.9132
OCSVM_kernel-poly_2_auto_09;0.2319;0.0973;0.1366;0.9868;0.4277;0.0983;0.1564;0.8308;0.0197;0.0791;0.0316;0.9655;0.0459;0.0794;0.0581;0.9514;0.1813;0.0885;0.0956;0.9336
OCSVM_kernel-poly_3_scale_01;0.0474;0.5865;0.0876;0.8657;0.1788;0.7800;0.2908;0.3672;0.0215;0.4406;0.0409;0.8509;0.0291;0.6793;0.0558;0.5577;0.0692;0.6216;0.1188;0.6604
