Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
KNR_1_;0.002946108507870322;0.0008448654024549896;0.02072613307618129;0.0010952065035270695;-0.8690971940566833;0.410852074424085;517.6146521806717;198.51229735030648
KNR_2_;0.0022627822759753473;0.0006976310305243271;0.01927473481195757;0.0008523428809915664;-0.40848961956306057;0.22725394651260136;157.18695220947265;0.6906131512989331
KNR_3_;0.00213631023535315;0.0006808148481850671;0.018894353369763205;0.0008698165891100283;-0.3197633048277423;0.1706084426939078;157.33037340641022;0.621566248736354
KNR_4_;0.00202912274530882;0.0006575144094621237;0.018495917711346833;0.0007887322086686773;-0.24777602531742846;0.13389089763736015;157.74067356586457;0.692357711430322
KNR_5_;0.0019439041058464585;0.0006460029738508748;0.018097846351655414;0.0007879189651982374;-0.19077498533069553;0.10893094663405056;157.4903158903122;0.8234082768020535
KNR_6_;0.0018738414416095517;0.0006426842321759917;0.017866543447980283;0.0007533647495077673;-0.1418534749817621;0.08117019957119113;158.67588338851928;1.011566068959346
KNR_7_;0.0018605233962310918;0.0006640690576044164;0.017889741470358635;0.0009111738560606096;-0.12834066233177846;0.06861118024392925;158.29706377983092;0.9071878760599948
KNR_8_;0.0018397512299654043;0.0006595220663326374;0.01782388299582128;0.0009111962912646416;-0.11509521914708287;0.06904859468396263;158.26756899356843;0.8185636319244909
KNR_9_;0.0018219308502113274;0.000674781625235174;0.01777855280545734;0.000893719877031619;-0.0994971582355633;0.05807097705607743;158.1582674741745;0.9488783674473685
KNR_10_;0.0018072900523758199;0.0006677852718805564;0.017667627772420445;0.0009032187897979133;-0.09081829895843992;0.05763866526467304;157.84086079597472;0.5687730367808532
KNR_11_;0.0017992218551609116;0.0006678450169600532;0.017616177201133808;0.0009056267924212754;-0.08562704816917246;0.06020650039806021;365.6347843885422;217.94367773386287
KNR_12_;0.0017857643252378176;0.0006703235623742441;0.017566163077252762;0.0008266116543129267;-0.07513014366045503;0.05264440882763922;638.7631172180176;23.59231480861902
KNR_13_;0.001772611569212049;0.000668025918337171;0.017542150681205647;0.0007783814537327467;-0.06682749179032303;0.05235288022775384;555.6384343624115;132.95223660046332
KNR_14_;0.0017661005088757922;0.0006680061594729335;0.01756354640216742;0.0008204134338978282;-0.06250918793544458;0.04856749866132832;388.1449295520782;5.306951438302492
KNR_15_;0.0017560387362229462;0.0006714035350739483;0.01747505839494267;0.000788260593367345;-0.054505683647576644;0.04398491686673254;388.87782330513;5.973270473041747
KNR_16_;0.0017533776882875008;0.000671761336056084;0.017453067743490838;0.0007576255933184434;-0.05203863163883256;0.03915652525653192;384.06384959220884;12.666556687515875
KNR_17_;0.0017477775082816644;0.0006694542079977888;0.017414958307334503;0.0007500619727691675;-0.04849585075882834;0.03914799994601377;371.2485016345978;10.881340406970265
KNR_18_;0.0017435753053616388;0.0006710127441914116;0.017417961355762707;0.0007282324433552149;-0.04529701920911226;0.03635796424721841;375.2969908475876;17.021709473046666
KNR_19_;0.001739506080751974;0.0006715037361861405;0.01735569033480519;0.0007299186694173566;-0.04239575580537498;0.03607296476684062;372.47781894207003;4.9803030079595185
KNR_20_;0.0017332868954594498;0.0006759597773637027;0.017332457409193185;0.0007236388480940649;-0.03721369540372865;0.03668746644981283;398.3481568098068;70.40215240793336
KNR_21_;0.0017241364743602397;0.000677434393757737;0.017301426581561585;0.000694159273846844;-0.031015491544857665;0.03668104931589294;369.59203534126283;35.980326022412086
KNR_22_;0.0017232292919367874;0.0006787282947621246;0.017287943075889076;0.0006819560542165767;-0.029888423158402;0.03272996771903873;357.29527175426483;9.286695465629322
KNR_23_;0.0017179139761385864;0.000682175534265593;0.017267840621637106;0.0007099428068932054;-0.0256900801085301;0.03248814728694648;356.0626254081726;6.706598776472828
KNR_24_;0.001716318944551436;0.0006820084755776165;0.01723946480231437;0.0007006628716612397;-0.02447772514924811;0.03132248264063649;352.5834688186645;4.689984760540038
KNR_25_;0.0017154689938604021;0.000683124296053798;0.01723537769206043;0.0007165577231147026;-0.023827390378123293;0.030626089327508876;358.3285134315491;11.971415124350187
KNR_26_;0.0017174821954285264;0.0006825652833873402;0.017242846722547785;0.0007009125670911397;-0.02523098295461823;0.029040745197550146;359.0821148395538;7.970765471384724
KNR_27_;0.0017172200383311134;0.0006828332102684566;0.017254519804278726;0.0006994192730912425;-0.02519068112366999;0.029352979466438507;329.3670787334442;14.671010040059981
KNR_28_;0.0017127026029992438;0.0006769491728415395;0.01721395164623226;0.0006675041666994697;-0.02347085492107014;0.031310361176260015;344.5655801057816;12.645616216325278
KNR_29_;0.0017123174711443528;0.0006776652304012704;0.01721692548132877;0.000674077593117516;-0.023057169254335663;0.03018521552873742;353.43030681610105;7.134104761703207
KNR_30_;0.0017095470819370423;0.0006764239474591147;0.017174259080681452;0.0006871169216878;-0.021477076552663565;0.02992754595059058;358.30032629966735;6.918724740886543
