Parametros;MAE;MSE;R2
FineTuning_epoca-1;0.0366; 0.0036; -1.4330
FineTuning_epoca-5;0.0345; 0.0033; -0.8429
FineTuning_epoca-10;0.0258;0.0025;-0.5171
